번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1100289,물리학전공,20140120,2006,아프니까 청춘이다,2010,김난도,쌤앤파커스,650.10842 김192아
AJ1100374,화학전공,20140203,2006,(김난도의) 내:일,2013,김난도,오우아,650.10842 김192내
AJ1100374,화학전공,20121227,2006,독서 천재가 된 홍 대리,2011,이지성,다산북스,650.1 이78독
AJ1105596,수학전공,20140724,2010,실행이 답이다,2011,이민규,더난,650.1 이38실
AJ1106914,화학전공,20130923,2012,실행이 답이다,2011,이민규,더난,650.1 이38실
AJ1107255,화학전공,20130906,2012,(유수연의) 독설,2012,유수연,위즈덤하우스,650.1 유56독
AJ1104967,화학전공,20120622,2011,바보 빅터,2011,"Posada, Joachim de",한국경제신문 한경BP,650.1 P855vK한
AJ1102978,화학전공,20110428,2009,마시멜로 이야기,2005,"Posada, Joachim de",한국경제신문,650.1 P855dK정
AJ1102978,화학전공,20110428,2009,마시멜로 두 번째 이야기,2007,"Posada, Joachim de",한국경제신문사,650.1 P855dK공 v.2
AJ1110864,화학전공,20141201,2014,기초공학,2008,송영우,구미서관,624.15 송64기
AJ1101798,물리학전공,20140922,2008,디지털 설계 -,2001,"Wakerly, John F",에드텍,621.395 W149d3K김
AJ1104935,물리학전공,20130523,2010,디지털 설계 -,2001,"Wakerly, John F",에드텍,621.395 W149d3K김
AJ1103367,물리학전공,20140417,2007,디지털 디자인,2007,"Mano, M. Morris",피어슨에듀케이션코리아,621.395 M285d4K김
AJ1104935,물리학전공,20130605,2010,통신시스템 공학,2004,"Blake, Roy",연세대학교 출판부,621.382 B636e2K김
AJ1102097,물리학전공,20120607,2008,통신시스템 공학,2004,"Blake, Roy",연세대학교 출판부,621.382 B636e2K김
AJ1101697,화학전공,20141212,2008,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
AJ1105650,물리학전공,20130506,2010,디스플레이 공학,2008,엄금용,기전연구사,621.381542 엄17디
AJ1107647,물리학전공,20130326,2010,반도체 소자 공정기술,2006,"Quirk, Michael",淸文閣,621.38153 Q8sK최
AJ1103347,화학전공,20140509,2009,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
AJ1106286,물리학전공,20130313,2009,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
AJ1107647,물리학전공,20130313,2010,반도체 공정기술,2003,황호정,생능출판사,621.38152 황95반개
AJ1101798,물리학전공,20140922,2008,반도체소자원리,2008,"Dimitrijev, Sima",진샘미디어,621.38152 D582pK윤4
AJ1103347,화학전공,20140507,2009,반도체소자원리,2008,"Dimitrijev, Sima",진샘미디어,621.38152 D582pK윤4
AJ1111057,물리학전공,20110401,2010,디지털 논리회로,1998,김노환,학문사,621.3815 김195디
AJ1107647,물리학전공,20120517,2010,전자회로,2005,"Floyd, Thomas L",피어슨에듀케이션코리아,621.3815 F645e7K강
AJ1104935,물리학전공,20130523,2010,(현대) 전자회로,2006,장학신,光文閣,621.381 전72장
AJ1101798,물리학전공,20130605,2008,회로이론,2003,"Irwin, J. David",교보문고,621.3192 I72b7K김
AJ1103367,물리학전공,20141212,2007,회로이론,2005,"Dorf, Richard C",교보문고,621.3192 D695i6K오
AJ1106739,화학전공,20130915,2011,(한번에 이해되는) AVR ATmega128 마이크로컨트롤러,2011,최한호,INFINITYBOOKS,621.317 최92a
AJ1101798,물리학전공,20130501,2008,기초 전기전자 실험,2007,김상배,홍릉과학,621.3028 김52기개
AJ1105842,화학전공,20140902,2011,재료과학과 공학,2008,"Smith, William Fortune",사이텍미디어,620.11 S663f4K고
AJ1108122,화학전공,20140911,2011,재료과학과 공학,1999,"Smith, William F",淸文閣,620.11 S663f2K강
AJ1107647,물리학전공,20120529,2010,유체역학,2008,"Munson, Bruce Roy",교보문고,620.106 M969f5K윤
AJ1110994,물리학전공,20140415,2012,(공학설계를 위한) MATLAB 기초와 응용,2008,"Hahn, Brian D",아진,620.00285 H148e3K황
AJ1106965,물리학전공,20130618,2012,매트랩의 기초,2007,"Palm, William J",인터비젼,620.00151 P171iK박
AJ1107245,물리학전공,20130417,2012,매트랩의 기초,2007,"Palm, William J",인터비젼,620.00151 P171iK박
AJ1106965,물리학전공,20130529,2012,(문제해결 학습중심의) 공학도를 위한 매트랩,2009,"Moore, Holly",생능,620.00151 M822mK유
AJ1109060,물리학전공,20131016,2013,생리학,2009,"Silverthorn, Dee Unglaub",라이프사이언스,612 S587h4K고
AJ1109060,물리학전공,20130525,2013,(간호사가 말하는) 간호사,2004,권혜림,부키,610.730692 간95권
AJ1104968,화학전공,20140317,2011,(최신) 식물 생리학,2003,권영명,아카데미서적,581.1 식36권아
AJ1109060,물리학전공,20131030,2013,(최신) 식물 생리학,2003,권영명,아카데미서적,581.1 식36권아
