번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1104718,사학전공,20110322,2009,(새로 쓴) 서양사총론,2008,차하순,探求堂,940.01 차92서3
AJ1107943,사회학전공,20141213,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1107957,정치외교학전공,20131129,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1107824,e-비즈니스학전공,20131010,2012,서양사강의,2007,배영수,한울,940 배64서개
AJ1100620,사학전공,20121003,2006,서양사강의,2007,배영수,한울,940 배64서개
AJ1103048,경제학전공,20130409,2009,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1106454,건축학과,20120612,2011,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1100119,경제학전공,20110602,2005,서양사강의,1994,배영수,한울아카데미,940 배64개
AJ1103920,심리학전공,20140417,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1105159,경영학전공,20141210,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1109806,사학전공,20140728,2014,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1100551,경제학전공,20140312,2006,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1107240,미디어학과,20131125,2012,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1104095,경영학전공,20130903,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1104944,간호학부,20121004,2010,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106186,산업공학전공,20121004,2011,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106454,건축학과,20120307,2011,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1103214,기계공학과,20120213,2009,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1103920,심리학전공,20140417,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1109783,사학전공,20140304,2014,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1109806,사학전공,20140516,2014,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1100188,법학전공,20140513,2005,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1106772,응용화학생명공학전공,20131008,2011,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1102834,영어영문학전공,20130912,2009,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1104224,생명공학전공,20130612,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1107042,간호학부,20121205,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1101486,국어국문학과,20120426,2008,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1104420,사학전공,20111031,2010,西洋史槪論,2007,민석홍,三英社,940 민54서2
AJ1109511,간호학부,20140418,2013,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1102867,생명공학전공,20131217,2009,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1101007,경제학전공,20131022,2007,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1109472,심리학전공,20130611,2013,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1102301,경제학전공,20130410,2008,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1104432,문화콘텐츠학전공,20111212,2010,西洋史槪論,1984,민석홍,三英社,940 민54서
AJ1109945,금융공학전공,20140917,2014,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1108185,경영학전공,20140715,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1106064,금융공학전공,20141127,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1110519,산업공학전공,20150128,2014,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1106195,경제학전공,20140527,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1108192,경영학전공,20140911,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104661,영어영문학전공,20141117,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101035,경영학전공,20140404,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104567,경제학전공,20140310,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1106268,전자공학전공,20140903,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105323,경영학전공,20141024,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1109278,행정학전공,20140429,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105901,경제학전공,20140905,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1106396,산업공학전공,20140905,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1111041,경영학전공,20140306,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104012,화학공학전공,20150114,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104662,영어영문학전공,20140814,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107090,경영학전공,20141208,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107434,건축공학전공,20140502,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107954,사회학전공,20140513,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105960,행정학전공,20140527,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101612,영어영문학전공,20140627,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105462,경영학전공,20140915,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1106968,문화콘텐츠학전공,20140321,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1108487,경영학전공,20141219,2013,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103900,기계공학과,20140911,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100442,경영학전공,20131120,2006,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1105463,경영학전공,20130515,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107471,화학공학전공,20130711,2012,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104095,경영학전공,20130617,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100494,건축공학전공,20130903,2006,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1100782,사학전공,20130922,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102175,경제학전공,20130503,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101266,경제학전공,20130409,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103241,건축공학전공,20130206,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104642,산업공학전공,20130404,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103571,화학공학전공,20130125,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102806,경영학전공,20121022,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102551,경영학전공,20130324,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102833,경영학전공,20130313,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1107133,신소재공학전공,20120430,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1104938,간호학부,20120815,2010,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1102119,경제학전공,20111003,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101324,기계공학과,20120326,2007,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
