,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
893,AJ1111034,경영학전공,20140904,2012,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
894,AJ1111065,경영학전공,20141002,2012,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
895,AJ1111043,경영학전공,20140507,2012,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
898,AJ1108908,경영학전공,20140809,2013,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
899,AJ1111034,경영학전공,20141015,2012,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
900,AJ1108412,경영학전공,20141017,2013,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
901,AJ1103701,경영학전공,20140107,2009,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
902,AJ1105458,경영학전공,20131010,2010,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
904,AJ1102224,경영학전공,20121014,2008,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
905,AJ1101914,경영학전공,20111114,2008,(Kotler) 마케팅 관리,2008,"Kotler, Philip",시그마프레스,658.8 K87f3K조
907,AJ1110686,경영학전공,20140521,2014,보랏빛 소가 온다,2004,"Godin, Seth",재인,658.8 G585pK남
909,AJ1110584,경영학전공,20140414,2014,보랏빛 소가 온다,2004,"Godin, Seth",재인,658.8 G585pK남
910,AJ1110586,경영학전공,20140326,2014,보랏빛 소가 온다,2004,"Godin, Seth",재인,658.8 G585pK남
911,AJ1110152,경영학전공,20140324,2014,보랏빛 소가 온다,2004,"Godin, Seth",재인,658.8 G585pK남
912,AJ1105575,경영학전공,20130520,2010,보랏빛 소가 온다,2004,"Godin, Seth",재인,658.8 G585pK남
941,AJ1101804,e-비즈니스학전공,20111108,2008,생산운영관리,2006,김홍준,文英社,658.5 생52김문
948,AJ1105575,경영학전공,20111205,2010,생산관리,2006,김형준,형설,658.5 김94생형
951,AJ1108185,경영학전공,20140902,2011,생산운영관리,2007,"Stevenson, William J",한국맥그로힐,658.5 S848o9K강
952,AJ1105758,경영학전공,20141010,2011,생산운영관리,2007,"Stevenson, William J",한국맥그로힐,658.5 S848o9K강
959,AJ1107116,경영학전공,20141030,2012,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
960,AJ1102833,경영학전공,20140318,2009,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
961,AJ1105989,경영학전공,20141005,2011,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
962,AJ1108185,경영학전공,20140904,2011,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
963,AJ1106053,e-비즈니스학전공,20141126,2011,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
965,AJ1107013,경영학전공,20130611,2012,비즈니스 프로세스 경영,2012,"Anupindi, Ravi",피어슨에듀케이션코리아,658.5 M266a3K김
967,AJ1105319,e-비즈니스학전공,20140917,2010,Managing business process flows,2012,"Anupindi, Ravi",Prentice Hall,658.5 M266a3
968,AJ1109575,경영학전공,20140303,2013,Managing business process flows,2012,"Anupindi, Ravi",Prentice Hall,658.5 M266a3
969,AJ1102833,경영학전공,20140515,2009,Managing business process flows,2012,"Anupindi, Ravi",Prentice Hall,658.5 M266a3
971,AJ1107087,경영학전공,20130508,2010,Managing business process flows,2012,"Anupindi, Ravi",Prentice Hall,658.5 M266a3
973,AJ1106056,e-비즈니스학전공,20140922,2011,Managing business process flows,2004,"Anupindi, Ravi",Pearson/Prentice Hall,658.5 M266a2
975,AJ1105160,경영학전공,20141012,2010,Managing business process flows,1999,"Anupindi,Ravi",Prentice Hall,658.5 M266a
982,AJ1103701,경영학전공,20121130,2009,생산관리,2005,"Chase, Richard B",한경사,658.5 C487o10K김
989,AJ1102503,경영학전공,20140428,2009,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
991,AJ1101307,e-비즈니스학전공,20140103,2007,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
994,AJ1101226,e-비즈니스학전공,20131025,2007,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
999,AJ1110275,경영학전공,20140408,2014,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1000,AJ1111022,경영학전공,20140514,2012,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1001,AJ1110641,경영학전공,20140414,2014,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1004,AJ1101281,경영학전공,20131111,2007,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
1013,AJ1103014,e-비즈니스학전공,20130917,2009,빅 데이터 비즈니스,2012,영목양개,더숲,658.4038 영35빅K천
1015,AJ1108618,e-비즈니스학전공,20130311,2013,빅 데이터 비즈니스,2012,영목양개,더숲,658.4038 영35빅K천
1023,AJ1108675,e-비즈니스학전공,20130816,2013,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
1029,AJ1101221,e-비즈니스학전공,20130321,2007,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
1031,AJ1108618,e-비즈니스학전공,20130308,2013,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
1032,AJ1107013,경영학전공,20130411,2012,경영정보시스템,2004,정경수,이프레스,658.4038 경64정
1033,AJ1107824,e-비즈니스학전공,20121014,2012,경영정보시스템,2004,정경수,이프레스,658.4038 경64정
1034,AJ1107082,경영학전공,20120416,2010,경영정보시스템,2004,정경수,이프레스,658.4038 경64정
1035,AJ1101914,경영학전공,20111003,2008,경영정보시스템,2004,정경수,이프레스,658.4038 경64정
1036,AJ1101661,경영학전공,20140416,2008,(디지털경영을 위한) 경영정보시스템의 이해,2008,이동만,대명,658.4038 경64이개
1037,AJ1103357,경영학전공,20131017,2009,(디지털경영을 위한) 경영정보시스템의 이해,2008,이동만,대명,658.4038 경64이개
1039,AJ1104456,경영학전공,20120313,2010,(디지털경영을 위한) 경영정보시스템의 이해,2008,이동만,대명,658.4038 경64이개
1040,AJ1101280,경영학전공,20111012,2007,(디지털경영을 위한) 경영정보시스템의 이해,2008,이동만,대명,658.4038 경64이개
1041,AJ1101914,경영학전공,20111010,2008,(디지털경영을 위한) 경영정보시스템의 이해,2008,이동만,대명,658.4038 경64이개
1042,AJ1104200,경영학전공,20110401,2010,(디지털경영을 위한) 경영정보시스템의 이해,2008,이동만,대명,658.4038 경64이개
1043,AJ1101804,e-비즈니스학전공,20111022,2008,(디지털경영을 위한) 경영정보시스템의 이해,2006,이동만,대명,658.4038 경64이
1044,AJ1108478,경영학전공,20140526,2013,Management information systems,2011,"O'Brien, James A., 1936-",McGraw-Hill/Irwin,658.4038 O13m10g
1046,AJ1107013,경영학전공,20130531,2012,Management information systems,2011,"O'Brien, James A., 1936-",McGraw-Hill/Irwin,658.4038 O13m10g
1047,AJ1106529,경영학전공,20140418,2011,경영정보시스템,2009,"McLeod, Raymond",시그마프레스,658.4038 M478m10K김
1048,AJ1103357,경영학전공,20131212,2009,경영정보시스템,2009,"McLeod, Raymond",시그마프레스,658.4038 M478m10K김
1049,AJ1106375,경영학전공,20140415,2011,경영정보시스템,2006,"Laudon, Kenneth C",사이텍미디어,658.4038 L372m9K김
1051,AJ1102544,경영학전공,20130614,2009,경영정보시스템,2006,"Laudon, Kenneth C",사이텍미디어,658.4038 L372m9K김
1052,AJ1106111,경영학전공,20121017,2011,경영정보시스템,2006,"Laudon, Kenneth C",사이텍미디어,658.4038 L372m9K김
1053,AJ1101804,e-비즈니스학전공,20110926,2008,경영정보시스템,2006,"Laudon, Kenneth C",사이텍미디어,658.4038 L372m9K김
1054,AJ1108478,경영학전공,20140526,2013,경영정보시스템,2008,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372m10K김
1055,AJ1101950,경영학전공,20140321,2008,경영정보시스템,2008,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372m10K김
1057,AJ1107087,경영학전공,20120329,2010,Management information systems,2007,"Laudon, Kenneth C",Pearson,658.4038 L372m10
1058,AJ1110155,e-비즈니스학전공,20141202,2014,경영정보시스템의 이해,2011,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372e9K백
1059,AJ1105160,경영학전공,20140330,2010,경영정보시스템의 이해,2011,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372e9K백
1063,AJ1103357,경영학전공,20131017,2009,경영정보시스템의 이해,2011,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372e9K백
1064,AJ1103014,e-비즈니스학전공,20130917,2009,경영정보시스템의 이해,2011,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372e9K백
1065,AJ1103807,경영학전공,20130409,2009,경영정보시스템의 이해,2011,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372e9K백
1068,AJ1106375,경영학전공,20140528,2011,경영정보시스템의 이해,2007,"Laudon, Jane P",사이텍미디어,658.4038 L372e7K이
1069,AJ1111037,경영학전공,20140417,2012,경영과학,2008,형성우,형설,658.4034 형54경
1071,AJ1110634,경영학전공,20140305,2014,경영과학,2008,형성우,형설,658.4034 형54경
1073,AJ1108484,경영학전공,20131209,2013,경영과학,2008,형성우,형설,658.4034 형54경
1077,AJ1110155,e-비즈니스학전공,20140527,2014,계량경영학의 이해,2005,최성용,21세기법경사,658.4033 최54계3
