번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1106613,기계공학과,20120418,2011,회로이론,2005,"Nilsson, James W",피어슨에듀케이션코리아,621.3192 N712e7K국
AJ1102930,응용화학생명공학전공,20140519,2009,회로이론,2000,"Dorf, Richard C",사이텍미디어,621.3192 D693i4K최
AJ1101698,기계공학과,20121109,2008,회로이론,2007,"Floyd, Thomas L",ITC,621.319 F645e7K이
AJ1104380,기계공학과,20141112,2010,(한번에 이해되는) AVR ATmega128 마이크로컨트롤러,2011,최한호,INFINITYBOOKS,621.317 최92a
AJ1104373,기계공학과,20140103,2010,(한번에 이해되는) AVR ATmega128 마이크로컨트롤러,2011,최한호,INFINITYBOOKS,621.317 최92a
AJ1107070,산업공학전공,20131202,2010,인간공학,2011,양성환,형설,620.82 인12양형
AJ1106321,산업공학전공,20130927,2011,인간공학,2011,양성환,형설,620.82 인12양형
AJ1109683,산업공학전공,20141008,2012,인간공학,2006,양성환,형설,620.82 인12양
AJ1106898,산업공학전공,20140903,2012,인간공학,2006,양성환,형설,620.82 인12양
AJ1106892,산업공학전공,20130925,2012,인간공학,2006,양성환,형설,620.82 인12양
AJ1101685,산업공학전공,20121025,2008,인간공학,2006,양성환,형설,620.82 인12양
AJ1100463,산업공학전공,20121111,2006,인간공학,2006,양성환,형설,620.82 인12양
AJ1101703,산업공학전공,20121004,2008,인간공학,2006,양성환,형설,620.82 인12양
AJ1106225,산업공학전공,20110403,2009,인간공학,2006,양성환,형설,620.82 인12양
AJ1104744,산업공학전공,20140901,2010,인간공학,2004,양성환,형설,620.82 양54인.
AJ1103112,산업공학전공,20131215,2009,인간공학,2004,양성환,형설,620.82 양54인.
AJ1104616,산업공학전공,20140807,2010,인간공학,2008,"Wickens, Christopher D",시그마프레스,620.82 I61w2K이
AJ1101634,응용화학생명공학전공,20140917,2008,나노기술의 이해,2011,서갑양,서울대학교출판문화원,620.5 서12나
AJ1108632,기계공학과,20140327,2013,나노기술의 이해,2011,서갑양,서울대학교출판문화원,620.5 서12나
AJ1108860,기계공학과,20140704,2013,나노기술의 이해,2011,서갑양,서울대학교출판문화원,620.5 서12나
AJ1103894,응용화학생명공학전공,20131211,2009,나노기술의 이해,2011,서갑양,서울대학교출판문화원,620.5 서12나
AJ1103362,응용화학생명공학전공,20131029,2009,나노기술의 이해,2011,서갑양,서울대학교출판문화원,620.5 서12나
AJ1104139,응용화학생명공학전공,20140507,2010,나노기술의 이해,2004,"Wilson, Michael",한티미디어,620.5 N186wK김
AJ1101188,화학공학전공,20141002,2007,나노기술의 이해,2004,"Wilson, Michael",한티미디어,620.5 N186wK김
AJ1103747,건축공학전공,20131015,2009,나노기술의 이해,2004,"Wilson, Michael",한티미디어,620.5 N186wK김
AJ1106242,응용화학생명공학전공,20130318,2011,나노기술의 이해,2004,"Wilson, Michael",한티미디어,620.5 N186wK김
AJ1104152,응용화학생명공학전공,20110331,2010,나노기술의 이해,2004,"Wilson, Michael",한티미디어,620.5 N186wK김
AJ1103221,기계공학과,20141028,2009,재료역학,1999,"Craig, Jr. Roy R",교보문고,620.11292 C886mK김
AJ1104257,기계공학과,20150115,2010,재료역학,1999,"Craig, Jr. Roy R",교보문고,620.11292 C886mK김
AJ1102872,기계공학과,20131029,2009,재료역학,1999,"Craig, Jr. Roy R",교보문고,620.11292 C886mK김
AJ1106537,기계공학과,20130925,2011,재료역학,1999,"Craig, Jr. Roy R",교보문고,620.11292 C886mK김
AJ1103643,기계공학과,20141103,2010,재료역학,2001,"Craig, Jr. Roy R",교보문고,620.11292 C886m2K김
AJ1104372,기계공학과,20140405,2010,재료역학,2001,"Craig, Jr. Roy R",교보문고,620.11292 C886m2K김
AJ1103658,기계공학과,20140311,2009,고체역학,2012,"Philpot, Timothy A",YOUNG,620.1123 P571m2K전
AJ1108926,기계공학과,20140916,2013,고체역학,2012,"Philpot, Timothy A",YOUNG,620.1123 P571m2K전
AJ1106014,기계공학과,20141114,2011,고체역학,2012,"Philpot, Timothy A",YOUNG,620.1123 P571m2K전
AJ1106602,기계공학과,20140623,2011,고체역학,2012,"Philpot, Timothy A",YOUNG,620.1123 P571m2K전
AJ1103006,기계공학과,20131020,2009,고체역학,2012,"Philpot, Timothy A",YOUNG,620.1123 P571m2K전
AJ1106818,기계공학과,20140920,2012,재료역학,2011,"Gere, James M",센게이지러닝코리아,620.1123 G367m7K박
AJ1108926,기계공학과,20140916,2013,재료역학,2011,"Gere, James M",센게이지러닝코리아,620.1123 G367m7K박
AJ1103649,기계공학과,20140729,2009,재료역학,2007,허원회,성안당,620.112 허66재
AJ1103101,기계공학과,20120917,2009,재료역학,2007,허원회,성안당,620.112 허66재
AJ1107073,신소재공학전공,20121015,2010,재료역학,2006,박종원,명현문화사,620.112 박75재
AJ1103570,신소재공학전공,20110415,2009,재료역학,2002,박연수,구미서관,620.112 박64재
AJ1104349,신소재공학전공,20140414,2010,재료역학,2008,"Riley, William F",시그마프레스,620.112 R573m6K김
AJ1103986,기계공학과,20130921,2010,재료역학,2008,"Riley, William F",시그마프레스,620.112 R573m6K김
AJ1107688,기계공학과,20130328,2010,재료역학,2008,"Riley, William F",시그마프레스,620.112 R573m6K김
AJ1100822,기계공학과,20121115,2007,재료역학,2000,"Sturges, Leroy D",사이텍미디어,620.112 R573i5K이
AJ1103606,신소재공학전공,20140414,2009,재료역학,2004,"Gere, James M",인터비젼(Intervision),620.112 G367m6K이
AJ1104324,기계공학과,20131002,2010,재료역학,2004,"Gere, James M",인터비젼(Intervision),620.112 G367m6K이
AJ1101820,건설시스템공학전공,20121022,2006,재료역학,2004,"Gere, James M",인터비젼(Intervision),620.112 G367m6K이
AJ1102997,기계공학과,20121101,2009,재료역학,2004,"Gere, James M",인터비젼(Intervision),620.112 G367m6K이
AJ1101465,화학공학전공,20120920,2008,재료역학,2004,"Gere, James M",인터비젼(Intervision),620.112 G367m6K이
AJ1106905,기계공학과,20131210,2012,고체역학,2005,"Beer, Ferdinand Pierre",인터비젼,620.112 B415m3K권
AJ1103691,기계공학과,20131001,2009,고체역학,2005,"Beer, Ferdinand Pierre",인터비젼,620.112 B415m3K권
AJ1102116,기계공학과,20130401,2008,고체역학,2005,"Beer, Ferdinand Pierre",인터비젼,620.112 B415m3K권
AJ1100822,기계공학과,20121203,2007,고체역학,2005,"Beer, Ferdinand Pierre",인터비젼,620.112 B415m3K권
AJ1107520,신소재공학전공,20131014,2012,재료역학,2006,배성호,류비기획,620.11 배54재
AJ1109091,신소재공학전공,20140414,2011,재료역학,2013,"Steif, Paul Seth",시그마프레스,620.11 S818mK임
AJ1101025,기계공학과,20131127,2007,재료역학,2013,"Steif, Paul Seth",시그마프레스,620.11 S818mK임
AJ1108058,신소재공학전공,20140404,2013,재료과학과 공학,2000,"Smith, William F",사이텍미디어,620.11 S663p3K김
AJ1107133,신소재공학전공,20140601,2010,재료과학과 공학,2008,"Smith, William Fortune",사이텍미디어,620.11 S663f4K고
AJ1102152,신소재공학전공,20121212,2008,재료과학과 공학,2008,"Smith, William Fortune",사이텍미디어,620.11 S663f4K고
AJ1101748,신소재공학전공,20110311,2008,재료과학과 공학,2008,"Smith, William Fortune",사이텍미디어,620.11 S663f4K고
AJ1103695,신소재공학전공,20120417,2009,재료과학과 공학,1999,"Smith, William F",淸文閣,620.11 S663f2K강
AJ1100029,신소재공학전공,20110602,2010,재료과학과 공학,1999,"Smith, William F",淸文閣,620.11 S663f2K강
AJ1103695,신소재공학전공,20140930,2009,재료역학,2004,"Gere, James M",Intervision,620.11 G367m5K이
AJ1100229,건설시스템공학전공,20120927,2005,재료역학,2004,"Gere, James M",Intervision,620.11 G367m5K이
AJ1107062,기계공학과,20120926,2010,재료역학,2004,"Gere, James M",Intervision,620.11 G367m5K이
AJ1107138,건설시스템공학전공,20121009,2010,재료역학,2004,"Gere, James M",Intervision,620.11 G367m5K이
AJ1103570,신소재공학전공,20140502,2009,재료과학과 공학,2011,"Callister, William D",시그마프레스,620.11 C162m8K박
AJ1101191,신소재공학전공,20141106,2007,재료과학과 공학,2011,"Callister, William D",시그마프레스,620.11 C162m8K박
AJ1106402,신소재공학전공,20140408,2011,재료과학과 공학,2011,"Callister, William D",시그마프레스,620.11 C162m8K박
AJ1103792,신소재공학전공,20140617,2009,재료과학과 공학,2007,"Callister, William D",시그마프레스,620.11 C162m7K박
AJ1103606,신소재공학전공,20131017,2009,재료과학과 공학,2007,"Callister, William D",시그마프레스,620.11 C162m7K박
AJ1101465,화학공학전공,20121203,2008,재료과학과 공학,2004,"Callister, William D",사이텍미디어,620.11 C162m6K김
AJ1100822,기계공학과,20121203,2007,재료과학과 공학,2000,"Callister, William D",사이텍미디어,620.11 C162m5K김
AJ1108507,건설시스템공학전공,20140317,2013,유체역학,2004,이명호,보성각,620.106 유83이
AJ1103748,건설시스템공학전공,20130510,2009,유체역학,2004,이명호,보성각,620.106 유83이
AJ1107527,건설시스템공학전공,20130527,2012,유체역학,2004,이명호,보성각,620.106 유83이
