,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
1183,AJ1109254,문화콘텐츠학전공,20140303,2013,기획의 정석,2013,박신영,세종서적,658.4012 박58기
1212,AJ1106112,문화콘텐츠학전공,20130705,2011,이케아 불편을 팔다,2013,"Jungbluth, Rudiger",미래의창,658.401 J95dK배
1264,AJ1109657,불어불문학전공,20140307,2013,조직행동연구,2006,백기복,창민사,658.4 백18조4
1412,AJ1107580,국어국문학과,20141010,2012,조직행동론,2011,"Robbins, Stephen P",피어슨에듀케이션코리아,658.3 R636o14K이
1441,AJ1107580,국어국문학과,20141010,2012,Understanding and managing organizational behavior,1996,"George, Jennifer M",Addison-Wesley Pub,658.3 G348u
1524,AJ1107548,문화콘텐츠학전공,20140613,2012,비즈니스 프로세스 경영,2006,"Anupindi, Ravi",석정,658 A636mK김
1645,AJ1107049,불어불문학전공,20130528,2012,천 번을 흔들려야 어른이 된다,2012,김난도,오우아,650.19842 김192천
1714,AJ1107168,문화콘텐츠학전공,20120905,2010,공모전 입상 실전공식,2010,하하하,전나무숲,650.14 하92공
1817,AJ1109254,문화콘텐츠학전공,20130619,2013,(유수연의) 독설,2012,유수연,위즈덤하우스,650.1 유56독
1826,AJ1108847,국어국문학과,20130515,2013,(시골의사 박경철의) 자기혁명,2011,박경철,웅진씽크빅,650.1 박14자
1848,AJ1100499,문화콘텐츠학전공,20120406,2006,바보 빅터,2011,"Posada, Joachim de",한국경제신문 한경BP,650.1 P855vK한
2846,AJ1100499,문화콘텐츠학전공,20121012,2006,유체역학,2003,"White, Frank M",한국맥그로힐,620.106 W584f5K조
2885,AJ1100499,문화콘텐츠학전공,20131018,2006,정역학,2013,"Meriam, J. L",시그마프레스,620.103 M561e7K권
3025,AJ1107168,문화콘텐츠학전공,20120601,2010,생리심리학,2008,"Carlson, Neil R",박학사,612.82 C284f7K정
3272,AJ1107274,국어국문학과,20130318,2012,이기적 유전자,2006,"Dawkins, Richard",을유문화사,574.87322 D271sK홍을
3282,AJ1106545,국어국문학과,20130318,2011,이기적 유전자,1993,"Dawkins, Richard",을유문화사,574.87322 D271SK홍개
3286,AJ1106767,국어국문학과,20130320,2011,이기적 유전자,1993,"Dawkins, Richard",을유문화사,574.87322 D271SK홍
3601,AJ1104218,문화콘텐츠학전공,20111207,2010,(최신) 생화학,2009,"McKee, Trudy",교보문고,572 M478b4K박
3707,AJ1100074,국어국문학과,20110905,2004,생명과학,2004,"Campbell, Neil A",라이프사이언스,570 C188b4K김
3957,AJ1107167,문화콘텐츠학전공,20140304,2010,유기화학,2008,"McMurry, John",사이플러스,547 M478o7K대
4970,AJ1100540,국어국문학과,20121203,2006,일반물리학,2008,"Serway, Raymond A",淸文閣,530 S492eK물
5055,AJ1103164,국어국문학과,20110302,2009,사회통계학,2007,"Knoke, David",博英社,519.50243 K72s4K장
5355,AJ1107119,문화콘텐츠학전공,20141008,2012,이산수학,2006,"Kolman, Bernard",한산,510.285 K81d5K김
5374,AJ1100540,국어국문학과,20130419,2006,이산수학,1999,"Kolman, bernard",한산,510.285 K81d3K전
5594,AJ1105044,문화콘텐츠학전공,20130615,2010,과학사신론,1999,김영식,다산출판사,509 김64과신
